sector,funding_required_eur_k
SaaS,134.4
SaaS,131.1
SaaS,201.5
SaaS,142.1
SaaS,106.9
SaaS,177.6
SaaS,227.1
SaaS,192.9
SaaS,142.5
SaaS,114.8
SaaS,158.0
SaaS,157.2
SaaS,131.5
SaaS,183.7
SaaS,244.3
SaaS,170.9
SaaS,168.6
SaaS,132.4
SaaS,221.3
SaaS,160.1
SaaS,143.3
SaaS,165.1
SaaS,180.6
SaaS,167.8
SaaS,212.2
SaaS,177.1
SaaS,152.9
SaaS,177.8
SaaS,181.7
SaaS,122.4
SaaS,209.6
SaaS,152.3
SaaS,153.2
SaaS,192.0
SaaS,191.8
SaaS,139.5
SaaS,194.2
SaaS,143.9
SaaS,242.9
SaaS,135.6
SaaS,171.6
SaaS,137.0
SaaS,265.4
SaaS,124.0
SaaS,182.7
SaaS,138.5
SaaS,150.6
SaaS,179.8
SaaS,213.1
SaaS,232.6
SaaS,116.1
SaaS,172.6
SaaS,224.4
SaaS,112.3
SaaS,174.4
SaaS,162.7
SaaS,178.3
SaaS,137.3
SaaS,118.7
SaaS,106.8
SaaS,201.8
SaaS,207.5
SaaS,174.0
SaaS,144.7
SaaS,113.9
SaaS,184.2
SaaS,127.7
SaaS,139.2
SaaS,143.1
SaaS,155.8
SaaS,137.7
SaaS,164.0
SaaS,141.9
SaaS,189.9
SaaS,204.2
SaaS,166.7
SaaS,180.2
SaaS,259.3
SaaS,125.7
SaaS,124.1
SaaS,189.6
SaaS,249.8
SaaS,153.7
SaaS,238.0
SaaS,166.2
SaaS,140.1
SaaS,130.9
SaaS,186.9
SaaS,133.1
SaaS,165.7
SaaS,230.6
SaaS,152.1
SaaS,217.3
SaaS,124.6
SaaS,144.7
SaaS,119.4
SaaS,165.4
SaaS,193.2
SaaS,165.5
SaaS,213.2
SaaS,138.0
SaaS,171.0
SaaS,144.9
SaaS,176.2
SaaS,181.8
SaaS,185.0
SaaS,128.6
SaaS,133.8
SaaS,139.4
SaaS,154.4
SaaS,165.9
SaaS,190.2
SaaS,135.1
SaaS,114.4
SaaS,261.5
SaaS,126.9
SaaS,195.6
SaaS,163.9
SaaS,172.0
SaaS,162.7
SaaS,149.5
SaaS,180.2
SaaS,147.8
SaaS,210.4
SaaS,184.4
SaaS,185.7
SaaS,145.6
SaaS,154.5
SaaS,125.3
SaaS,150.6
SaaS,129.6
SaaS,217.3
SaaS,164.6
SaaS,169.0
SaaS,154.9
SaaS,170.0
SaaS,279.9
SaaS,152.4
SaaS,141.1
SaaS,182.9
SaaS,93.4
SaaS,165.1
SaaS,150.0
SaaS,130.8
SaaS,182.0
SaaS,164.7
SaaS,109.5
SaaS,141.2
SaaS,86.2
SaaS,173.6
SaaS,173.2
SaaS,136.7
SaaS,183.3
SaaS,122.7
SaaS,131.6
SaaS,178.4
SaaS,139.9
SaaS,160.5
SaaS,143.8
SaaS,148.7
SaaS,150.1
SaaS,139.3
SaaS,174.0
SaaS,141.8
SaaS,163.3
SaaS,138.6
SaaS,116.1
SaaS,198.9
SaaS,181.7
SaaS,269.3
SaaS,129.4
SaaS,155.4
SaaS,158.2
SaaS,202.3
SaaS,145.6
SaaS,125.8
SaaS,212.3
SaaS,151.8
SaaS,197.5
SaaS,192.5
SaaS,161.7
SaaS,156.6
SaaS,149.3
SaaS,162.2
SaaS,196.8
SaaS,136.6
SaaS,166.7
SaaS,127.2
SaaS,130.8
SaaS,161.7
SaaS,105.7
SaaS,256.1
SaaS,125.2
SaaS,161.3
SaaS,210.5
SaaS,134.6
SaaS,98.1
SaaS,147.6
SaaS,134.3
SaaS,98.6
SaaS,173.3
SaaS,170.3
SaaS,209.3
SaaS,127.2
SaaS,114.5
SaaS,148.8
SaaS,159.6
SaaS,199.3
SaaS,222.0
SaaS,212.6
SaaS,173.0
SaaS,194.1
SaaS,141.4
SaaS,168.9
SaaS,125.2
SaaS,165.0
SaaS,166.0
SaaS,237.7
SaaS,154.8
SaaS,166.0
SaaS,171.5
SaaS,147.3
SaaS,136.4
SaaS,216.6
SaaS,131.2
SaaS,121.5
SaaS,189.0
SaaS,210.0
SaaS,147.4
SaaS,147.9
SaaS,173.2
SaaS,139.3
SaaS,137.0
SaaS,197.5
SaaS,186.0
SaaS,217.2
SaaS,123.6
SaaS,145.7
SaaS,173.1
SaaS,132.8
SaaS,187.4
SaaS,213.1
SaaS,143.2
SaaS,164.1
SaaS,224.2
SaaS,241.8
SaaS,191.8
SaaS,185.5
SaaS,134.9
SaaS,176.1
SaaS,184.0
SaaS,155.4
SaaS,142.8
SaaS,122.8
SaaS,111.0
SaaS,106.0
SaaS,184.9
SaaS,168.1
SaaS,146.3
SaaS,151.3
SaaS,170.5
SaaS,157.0
SaaS,121.2
SaaS,199.0
SaaS,174.0
SaaS,172.6
SaaS,195.7
SaaS,136.1
SaaS,212.6
SaaS,157.8
SaaS,197.9
SaaS,191.3
SaaS,129.5
SaaS,181.8
SaaS,174.9
SaaS,163.8
SaaS,159.4
SaaS,159.7
SaaS,194.6
SaaS,184.8
SaaS,163.8
SaaS,117.2
SaaS,181.5
SaaS,190.8
SaaS,270.0
SaaS,206.2
SaaS,107.2
SaaS,165.6
SaaS,242.4
SaaS,186.7
SaaS,175.0
SaaS,198.4
SaaS,141.9
SaaS,180.8
SaaS,154.0
SaaS,162.1
SaaS,195.3
SaaS,132.7
SaaS,216.1
SaaS,148.3
SaaS,172.4
SaaS,119.6
SaaS,190.7
SaaS,223.7
SaaS,145.3
SaaS,127.5
SaaS,173.0
SaaS,224.1
SaaS,118.3
SaaS,127.6
SaaS,147.3
SaaS,135.9
SaaS,136.0
SaaS,102.7
SaaS,185.3
SaaS,175.3
SaaS,112.0
SaaS,224.3
SaaS,235.6
SaaS,138.0
SaaS,210.4
SaaS,143.5
SaaS,169.4
SaaS,135.4
SaaS,264.9
SaaS,152.5
SaaS,167.3
SaaS,139.9
SaaS,245.1
SaaS,246.5
SaaS,233.0
SaaS,200.9
SaaS,141.9
SaaS,195.3
SaaS,162.5
SaaS,217.2
SaaS,208.0
SaaS,141.1
SaaS,200.5
SaaS,189.1
SaaS,88.4
SaaS,194.1
